route,from_a,to_b,change,totaltime,route_min,full_route,stop1,stop2,stop3,stop4,stop5,count,geom,interval_t
Stanca - Sárospatak,Stanca,Sárospatak,3,03:50:00,230,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Sárospatak,Streda Nad Bodrogom,Sárospatak,2,03:49:00,229,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Trebisov - Sárospatak,Trebisov,Sárospatak,3,04:07:00,247,"{Trebisov,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Velaty - Sárospatak,Velaty,Sárospatak,3,03:42:00,222,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Velka Lodina - Sárospatak,Velka Lodina,Sárospatak,2,03:05:00,185,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Celovce (Cselej) - Sátoraljaújhely,Celovce,Sátoraljaújhely,2,04:16:00,256,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Cerhov - Sátoraljaújhely,Cerhov,Sátoraljaújhely,2,03:45:00,225,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Kalsa - Sátoraljaújhely,Kalsa,Sátoraljaújhely,2,03:23:00,203,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Trebisov - Golop,Trebisov,Golop,3,03:44:00,224,"{Trebisov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Golop}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Kostolany Nad Hornadom - Sátoraljaújhely,Kostolany Nad Hornadom,Sátoraljaújhely,2,03:01:00,181,"{""Kostolany Nad Hornadom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
