sector,muni,g_ord,sk_hobo
HU HOBO,Lastovce,POP_0-14_2020,340
HU HOBO,Lastovce,POP_15-64_2020,775
HU HOBO,Lastovce,POP_above_65_2020,117
HU HOBO,LEGYESBÉNYE,POP_0-14_2020,222
HU HOBO,LEGYESBÉNYE,POP_15-64_2020,927
HU HOBO,LEGYESBÉNYE,POP_above_65_2020,240
HU HOBO,Luhyňa,POP_0-14_2020,41
HU HOBO,Luhyňa,POP_15-64_2020,189
HU HOBO,Luhyňa,POP_above_65_2020,68
HU HOBO,MÁD,POP_0-14_2020,212
HU HOBO,MÁD,POP_15-64_2020,1336
HU HOBO,MÁD,POP_above_65_2020,465
HU HOBO,MAKKOSHOTYKA,POP_0-14_2020,133
HU HOBO,MAKKOSHOTYKA,POP_15-64_2020,532
HU HOBO,MAKKOSHOTYKA,POP_above_65_2020,118
HU HOBO,Malá Lodina,POP_0-14_2020,19
HU HOBO,Malá Lodina,POP_15-64_2020,128
HU HOBO,Malá Lodina,POP_above_65_2020,39
HU HOBO,Malá Tŕňa,POP_0-14_2020,45
HU HOBO,Malá Tŕňa,POP_15-64_2020,248
HU HOBO,Malá Tŕňa,POP_above_65_2020,73
HU HOBO,Malý Kamenec,POP_0-14_2020,44
HU HOBO,Malý Kamenec,POP_15-64_2020,284
HU HOBO,Malý Kamenec,POP_above_65_2020,85
HU HOBO,MEGYASZÓ,POP_0-14_2020,572
HU HOBO,MEGYASZÓ,POP_15-64_2020,1658
HU HOBO,MEGYASZÓ,POP_above_65_2020,359
HU HOBO,MEZŐZOMBOR,POP_0-14_2020,446
HU HOBO,MEZŐZOMBOR,POP_15-64_2020,1505
HU HOBO,MEZŐZOMBOR,POP_above_65_2020,349
HU HOBO,Michaľany,POP_0-14_2020,315
HU HOBO,Michaľany,POP_15-64_2020,1281
HU HOBO,Michaľany,POP_above_65_2020,286
HU HOBO,MIKÓHÁZA,POP_0-14_2020,67
HU HOBO,MIKÓHÁZA,POP_15-64_2020,352
HU HOBO,MIKÓHÁZA,POP_above_65_2020,103
HU HOBO,Milhosť,POP_0-14_2020,62
HU HOBO,Milhosť,POP_15-64_2020,278
HU HOBO,Milhosť,POP_above_65_2020,54
HU HOBO,MOGYORÓSKA,POP_0-14_2020,10
HU HOBO,MOGYORÓSKA,POP_15-64_2020,53
HU HOBO,MOGYORÓSKA,POP_above_65_2020,22
HU HOBO,MONOK,POP_0-14_2020,191
HU HOBO,MONOK,POP_15-64_2020,981
HU HOBO,MONOK,POP_above_65_2020,317
HU HOBO,NAGYHUTA,POP_0-14_2020,6
HU HOBO,NAGYHUTA,POP_15-64_2020,53
HU HOBO,NAGYHUTA,POP_above_65_2020,7
HU HOBO,NAGYKINIZS,POP_0-14_2020,72
HU HOBO,NAGYKINIZS,POP_15-64_2020,172
HU HOBO,NAGYKINIZS,POP_above_65_2020,41
HU HOBO,Nižná Hutka,POP_0-14_2020,75
HU HOBO,Nižná Hutka,POP_15-64_2020,450
HU HOBO,Nižná Hutka,POP_above_65_2020,97
HU HOBO,Nižná Myšľa,POP_0-14_2020,361
HU HOBO,Nižná Myšľa,POP_15-64_2020,1153
HU HOBO,Nižná Myšľa,POP_above_65_2020,178
HU HOBO,Nižný Čaj,POP_0-14_2020,41
HU HOBO,Nižný Čaj,POP_15-64_2020,198
HU HOBO,Nižný Čaj,POP_above_65_2020,41
HU HOBO,Nižný Žipov,POP_0-14_2020,320
HU HOBO,Nižný Žipov,POP_15-64_2020,972
HU HOBO,Nižný Žipov,POP_above_65_2020,171
HU HOBO,Novosad,POP_0-14_2020,143
HU HOBO,Novosad,POP_15-64_2020,703
HU HOBO,Novosad,POP_above_65_2020,150
HU HOBO,Nový Salaš,POP_0-14_2020,39
HU HOBO,Nový Salaš,POP_15-64_2020,154
HU HOBO,Nový Salaš,POP_above_65_2020,31
HU HOBO,NYÍRI,POP_0-14_2020,59
HU HOBO,NYÍRI,POP_15-64_2020,256
HU HOBO,NYÍRI,POP_above_65_2020,59
HU HOBO,Obišovce,POP_0-14_2020,89
HU HOBO,Obišovce,POP_15-64_2020,302
HU HOBO,Obišovce,POP_above_65_2020,85
HU HOBO,OLASZLISZKA,POP_0-14_2020,281
HU HOBO,OLASZLISZKA,POP_15-64_2020,1145
HU HOBO,OLASZLISZKA,POP_above_65_2020,283
HU HOBO,Olšovany,POP_0-14_2020,145
HU HOBO,Olšovany,POP_15-64_2020,456
HU HOBO,Olšovany,POP_above_65_2020,80
HU HOBO,PÁLHÁZA,POP_0-14_2020,122
HU HOBO,PÁLHÁZA,POP_15-64_2020,643
HU HOBO,PÁLHÁZA,POP_above_65_2020,235
HU HOBO,PÁNYOK,POP_0-14_2020,9
HU HOBO,PÁNYOK,POP_15-64_2020,73
HU HOBO,PÁNYOK,POP_above_65_2020,15
HU HOBO,PERE,POP_0-14_2020,65
HU HOBO,PERE,POP_15-64_2020,215
HU HOBO,PERE,POP_above_65_2020,38
HU HOBO,Plechotice,POP_0-14_2020,123
HU HOBO,Plechotice,POP_15-64_2020,512
HU HOBO,Plechotice,POP_above_65_2020,136
HU HOBO,PUSZTAFALU,POP_0-14_2020,18
HU HOBO,PUSZTAFALU,POP_15-64_2020,133
HU HOBO,PUSZTAFALU,POP_above_65_2020,51
HU HOBO,Rad,POP_0-14_2020,55
HU HOBO,Rad,POP_15-64_2020,354
HU HOBO,Rad,POP_above_65_2020,95
HU HOBO,RAKAMAZ,POP_0-14_2020,641
HU HOBO,RAKAMAZ,POP_15-64_2020,2672
HU HOBO,RAKAMAZ,POP_above_65_2020,904
HU HOBO,Rákoš,POP_0-14_2020,45
HU HOBO,Rákoš,POP_15-64_2020,272
HU HOBO,Rákoš,POP_above_65_2020,56
HU HOBO,RÁTKA,POP_0-14_2020,131
HU HOBO,RÁTKA,POP_15-64_2020,623
HU HOBO,RÁTKA,POP_above_65_2020,181
HU HOBO,REGÉC,POP_0-14_2020,10
HU HOBO,REGÉC,POP_15-64_2020,36
HU HOBO,REGÉC,POP_above_65_2020,17
HU HOBO,Ruskov,POP_0-14_2020,294
HU HOBO,Ruskov,POP_15-64_2020,1079
HU HOBO,Ruskov,POP_above_65_2020,242
HU HOBO,Sady nad Torysou,POP_0-14_2020,354
HU HOBO,Sady nad Torysou,POP_15-64_2020,1338
HU HOBO,Sady nad Torysou,POP_above_65_2020,277
HU HOBO,SÁRAZSADÁNY,POP_0-14_2020,42
HU HOBO,SÁRAZSADÁNY,POP_15-64_2020,156
HU HOBO,SÁRAZSADÁNY,POP_above_65_2020,32
HU HOBO,SÁROSPATAK,POP_0-14_2020,1370
HU HOBO,SÁROSPATAK,POP_15-64_2020,7283
HU HOBO,SÁROSPATAK,POP_above_65_2020,2638
HU HOBO,SÁTORALJAÚJHELY,POP_0-14_2020,1912
HU HOBO,SÁTORALJAÚJHELY,POP_15-64_2020,8618
HU HOBO,SÁTORALJAÚJHELY,POP_above_65_2020,3024
HU HOBO,Seňa,POP_0-14_2020,387
HU HOBO,Seňa,POP_15-64_2020,1442
HU HOBO,Seňa,POP_above_65_2020,310
HU HOBO,SIMA,POP_0-14_2020,1
HU HOBO,SIMA,POP_15-64_2020,30
HU HOBO,SIMA,POP_above_65_2020,13
HU HOBO,Sirník,POP_0-14_2020,66
HU HOBO,Sirník,POP_15-64_2020,396
HU HOBO,Sirník,POP_above_65_2020,105
HU HOBO,Skároš,POP_0-14_2020,204
HU HOBO,Skároš,POP_15-64_2020,781
HU HOBO,Skároš,POP_above_65_2020,141
HU HOBO,Slančík,POP_0-14_2020,30
HU HOBO,Slančík,POP_15-64_2020,138
HU HOBO,Slančík,POP_above_65_2020,37
HU HOBO,Slanec,POP_0-14_2020,272
HU HOBO,Slanec,POP_15-64_2020,1054
HU HOBO,Slanec,POP_above_65_2020,196
HU HOBO,Slanská Huta,POP_0-14_2020,43
HU HOBO,Slanská Huta,POP_15-64_2020,165
HU HOBO,Slanská Huta,POP_above_65_2020,39
HU HOBO,Slanské Nové Mesto,POP_0-14_2020,52
HU HOBO,Slanské Nové Mesto,POP_15-64_2020,334
HU HOBO,Slanské Nové Mesto,POP_above_65_2020,87
HU HOBO,Slivník,POP_0-14_2020,105
HU HOBO,Slivník,POP_15-64_2020,502
HU HOBO,Slivník,POP_above_65_2020,157
HU HOBO,Slovenské Nové Mesto,POP_0-14_2020,186
HU HOBO,Slovenské Nové Mesto,POP_15-64_2020,749
HU HOBO,Slovenské Nové Mesto,POP_above_65_2020,162
HU HOBO,Sokoľ,POP_0-14_2020,240
HU HOBO,Sokoľ,POP_15-64_2020,861
HU HOBO,Sokoľ,POP_above_65_2020,158
HU HOBO,Sokoľany,POP_0-14_2020,314
HU HOBO,Sokoľany,POP_15-64_2020,887
HU HOBO,Sokoľany,POP_above_65_2020,173
HU HOBO,Somotor,POP_0-14_2020,167
HU HOBO,Somotor,POP_15-64_2020,971
HU HOBO,Somotor,POP_above_65_2020,247
HU HOBO,SÓSTÓFALVA,POP_0-14_2020,33
HU HOBO,SÓSTÓFALVA,POP_15-64_2020,136
HU HOBO,SÓSTÓFALVA,POP_above_65_2020,33
HU HOBO,Stanča,POP_0-14_2020,75
HU HOBO,Stanča,POP_15-64_2020,257
HU HOBO,Stanča,POP_above_65_2020,76
HU HOBO,Streda nad Bodrogom,POP_0-14_2020,260
HU HOBO,Streda nad Bodrogom,POP_15-64_2020,1546
HU HOBO,Streda nad Bodrogom,POP_above_65_2020,401
HU HOBO,Svätá Mária,POP_0-14_2020,48
HU HOBO,Svätá Mária,POP_15-64_2020,388
HU HOBO,Svätá Mária,POP_above_65_2020,111
HU HOBO,SZEGI,POP_0-14_2020,25
HU HOBO,SZEGI,POP_15-64_2020,205
HU HOBO,SZEGI,POP_above_65_2020,32
HU HOBO,SZEGILONG,POP_0-14_2020,34
HU HOBO,SZEGILONG,POP_15-64_2020,143
HU HOBO,SZEGILONG,POP_above_65_2020,31
HU HOBO,SZENTISTVÁNBAKSA,POP_0-14_2020,38
HU HOBO,SZENTISTVÁNBAKSA,POP_15-64_2020,166
HU HOBO,SZENTISTVÁNBAKSA,POP_above_65_2020,53
HU HOBO,SZERENCS,POP_0-14_2020,1009
HU HOBO,SZERENCS,POP_15-64_2020,5220
HU HOBO,SZERENCS,POP_above_65_2020,2244
HU HOBO,TÁLLYA,POP_0-14_2020,196
HU HOBO,TÁLLYA,POP_15-64_2020,1105
