index,from_a,to_b,route_time,route_km,operating,geom,dur_min,sector,inner_sector
0,Michaľany,Borša,16 min,18 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,16,SK HOBO CORE,se
0,Nižná Myšľa,Borša,51 min,51 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,51,SK HOBO CORE,se
0,Ruskov,Borša,41 min,44 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,41,SK HOBO CORE,se
0,Slanec,Borša,34 min,37 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,34,SK HOBO CORE,se
0,Slovenské Nové Mesto,Borša,4 min,4 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,4,SK HOBO CORE,se
0,Somotor,Borša,10 min,7 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,10,SK HOBO CORE,se
0,Vyšná Myšľa,Borša,48 min,49 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,48,SK HOBO CORE,se
0,Michaľany,Čerhov,5 min,7 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,5,SK HOBO CORE,se
0,Nižná Myšľa,Čerhov,41 min,40 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,41,SK HOBO CORE,se
0,Ruskov,Čerhov,31 min,33 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,31,SK HOBO CORE,se
0,Borša,Bohdanovce,45 min,47 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,45,SK HOBO CORE,se
0,Čerhov,Bohdanovce,35 min,36 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,35,SK HOBO CORE,se
0,Slanec,Čerhov,24 min,26 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,24,SK HOBO CORE,se
0,Slovenské Nové Mesto,Čerhov,4 min,7 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,4,SK HOBO CORE,se
0,Somotor,Čerhov,20 min,18 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,20,SK HOBO CORE,se
0,Vyšná Myšľa,Čerhov,38 min,38 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,38,SK HOBO CORE,se
0,Streda nad Bodrogom,Čerhov,13 min,15 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,13,SK HOBO CORE,se
0,Bohdanovce,Kalša,16 min,15 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,16,SK HOBO CORE,se
0,Borša,Kalša,28 min,32 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,28,SK HOBO CORE,se
0,Čerhov,Kalša,18 min,21 km,TRUE,0101000020E61000009B1BD31396883540C3A38D23D64E4840,18,SK HOBO CORE,se
0,Kuzmice,Bohdanovce,22 min,21 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,22,SK HOBO CORE,se
0,Slanec,Bohdanovce,10 min,10 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,10,SK HOBO CORE,se
