nam,objectid,min,nm4,status_en,further_use_en,poznamka,geom
Hornád,1273,892.4406378,Nižná Myšľa,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E61000000100000001010000006009BB3A5D5E3540182DE8D946504840
Hornád,1297,195.0088282,Trstené pri Hornáde,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná.,0104000020E6100000010000000101000000F020EE450F53354010B9DC77844B4840
Hornád,1298,149.5269965,Trstené pri Hornáde,"modified (overlay, landscaping, etc.)",n/a,V roku 2020 neboli zaznamenané zmeny.,0104000020E61000000100000001010000001026075196543540C04A2891C5494840
Hornád,1299,128.6630434,Trstené pri Hornáde,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E61000000100000001010000000065327AC053354050ABFC6050484840
Hornád,1783,929.44595,Sokoľ,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000010651594F436354008C94D6A2E684840
Hornád,1989,455.5053204,Ždaňa,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000E0955F0B1C58354068521952C74C4840
Hornád,2034,589.9606548,Kostoľany nad Hornádom,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000070EC26265F3E3540606835C4FB644840
Hornád,2035,65.26864401,Kostoľany nad Hornádom,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000010E997C59A3C3540309CB4DB74664840
Hornád,2062,29.66533088,Kostoľany nad Hornádom,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000E0A41B2EE03C35406875FA2D79664840
Hornád,2064,524.2299633,Družstevná pri Hornáde,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000701A394ADF423540B8E460BF72654840
Hornád,2065,371.4795667,Družstevná pri Hornáde,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000F03310334A42354060358BF47B654840
Hornád,2091,65.57814409,Sokoľ,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000A0955249FD39354030E8D0CB23684840
Hornád,2092,343.9486388,Sokoľ,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000E064290606393540E8D2B921D4674840
Hornád,2314,95.5393251,Družstevná pri Hornáde,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000502828452B3D354070686D94A1664840
Hornád,6343,22.71810412,Košice-Staré Mesto,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000000C046E4E453540F8C904A85B5D4840
Hornád,8384,454.2121341,Košice-Ťahanovce,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000E0B978CB9742354090C199EB76604840
Hornád,8385,281.0046398,Košice-Ťahanovce,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000C01A824B16423540203805D151604840
Hornád,8386,426.7242588,Košice-Ťahanovce,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000A04BCEE9AF42354088DD1CC038604840
Hrabovec,1256,965.1901627,Rákoš,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000C01E49ACB96C3540508891DC1C524840
